,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
4,354.0,TIGER 단기채권액티브,53680.0,5.0,+0.01%,0.0,5311.0,9894.0,0.0,9377.0,,,
5,355.0,유안타증권,2640.0,10.0,+0.38%,5000.0,5269.0,199597.0,64.31,100677.0,8.71,4.08,
9,356.0,LX홀딩스,6830.0,20.0,-0.29%,1000.0,5210.0,76281.0,9.06,59136.0,6.74,4.82,
10,357.0,SK이터닉스,20350.0,650.0,-3.10%,200.0,5201.0,25560.0,2.59,1489044.0,,,
11,358.0,TIGER 미국배당+7%프리미엄다우존스,10465.0,50.0,+0.48%,0.0,5191.0,49600.0,0.01,1034502.0,,,
12,359.0,KOSEF 국고채10년,110610.0,545.0,+0.50%,0.0,5143.0,4650.0,0.01,9921.0,,,
13,360.0,KODEX 코스닥150선물인버스,3485.0,10.0,+0.29%,0.0,5133.0,147300.0,4.73,35526682.0,,,
17,361.0,삼양사,49750.0,400.0,+0.81%,5000.0,5131.0,10313.0,4.9,11243.0,4.97,7.58,
18,362.0,삼성 인버스 2X 천연가스 선물 ETN C,102075.0,6145.0,+6.41%,0.0,5104.0,5000.0,0.0,25257.0,,,
19,363.0,애경산업,19280.0,50.0,+0.26%,1000.0,5092.0,26410.0,5.59,145708.0,10.44,13.08,
20,364.0,고려제강,20300.0,50.0,-0.25%,1000.0,5075.0,25000.0,7.58,21671.0,7.1,4.36,
21,365.0,KODEX MSCI Korea TR,12630.0,130.0,-1.02%,0.0,5065.0,40100.0,1.62,1929.0,,,
25,366.0,SOL 미국배당다우존스,10550.0,90.0,+0.86%,0.0,5064.0,48000.0,0.13,277508.0,,,
26,367.0,KB KIS CD금리투자 ETN,50155.0,0.0,0.00%,0.0,5016.0,10000.0,0.0,0.0,,,
27,368.0,미래에셋증권2우B,3575.0,35.0,-0.97%,5000.0,5005.0,140000.0,8.63,179250.0,8.31,,
28,369.0,HDC,8310.0,20.0,+0.24%,5000.0,4965.0,59742.0,17.98,105021.0,4.39,4.52,
29,370.0,프레스티지바이오파마,8200.0,40.0,+0.49%,0.0,4928.0,60096.0,63.1,25703.0,-10.7,3.99,
33,371.0,SPC삼립,57000.0,800.0,-1.38%,5000.0,4919.0,8629.0,2.37,4043.0,9.79,12.43,
34,372.0,서연이화,18160.0,70.0,-0.38%,500.0,4908.0,27028.0,9.74,168815.0,3.11,19.68,
35,373.0,엘브이엠씨홀딩스,2860.0,40.0,-1.38%,0.0,4907.0,171588.0,12.35,833956.0,-7.03,-9.2,
36,374.0,한국철강,11440.0,660.0,+6.12%,1000.0,4856.0,42450.0,8.15,560415.0,7.12,8.26,
37,375.0,쿠쿠홈시스,21600.0,150.0,-0.69%,100.0,4846.0,22437.0,6.64,15678.0,4.33,14.85,
41,376.0,한화손해보험,4135.0,150.0,-3.50%,5000.0,4827.0,116739.0,12.04,529922.0,2.59,6.68,
42,377.0,NICE,12610.0,70.0,-0.55%,500.0,4729.0,37503.0,14.62,31496.0,122.43,0.51,
43,378.0,삼화콘덴서,45300.0,5750.0,+14.54%,1000.0,4709.0,10395.0,5.22,2110762.0,22.63,8.9,
44,379.0,신성이엔지,2280.0,20.0,-0.87%,500.0,4693.0,205848.0,7.05,2799934.0,28.86,7.15,
45,380.0,ACE 200,37685.0,380.0,-1.00%,0.0,4654.0,12350.0,10.61,24620.0,,,
49,381.0,KBSTAR 미국나스닥100,18660.0,445.0,+2.44%,0.0,4628.0,24800.0,0.01,147405.0,,,
50,382.0,SBS,24850.0,300.0,-1.19%,5000.0,4610.0,18551.0,0.0,45942.0,9.81,5.45,
51,383.0,에이프로젠,1731.0,92.0,-5.05%,500.0,4584.0,264837.0,8.07,14898937.0,-8.01,-30.65,
52,384.0,ACE 국고채10년,86910.0,320.0,+0.37%,0.0,4584.0,5274.0,0.01,18058.0,,,
53,385.0,풍산홀딩스,31700.0,100.0,+0.32%,5000.0,4570.0,14417.0,14.55,102011.0,5.67,8.45,
57,386.0,화승엔터프라이즈,7410.0,200.0,-2.63%,500.0,4490.0,60589.0,3.58,194662.0,-17.07,-5.0,
58,387.0,한섬,19180.0,140.0,-0.72%,500.0,4488.0,23398.0,26.01,51478.0,5.63,6.14,
59,388.0,E1,65200.0,1600.0,-2.40%,5000.0,4473.0,6860.0,5.68,14663.0,2.1,13.9,
60,389.0,신영증권우,63800.0,0.0,0.00%,5000.0,4470.0,7006.0,6.16,0.0,6.18,,
61,390.0,엠씨넥스,24650.0,50.0,+0.20%,500.0,4432.0,17978.0,9.22,51017.0,15.87,8.83,
65,391.0,코람코라이프인프라리츠,4985.0,20.0,+0.40%,500.0,4413.0,88534.0,1.6,72451.0,41.2,2.33,
66,392.0,KBSTAR 단기통안채,111235.0,5.0,0.00%,0.0,4406.0,3961.0,0.0,39007.0,,,
67,393.0,유진투자증권,4480.0,45.0,+1.01%,5000.0,4340.0,96866.0,7.75,1233477.0,14.13,3.09,
68,394.0,KB스타리츠,4265.0,25.0,+0.59%,500.0,4325.0,101414.0,0.22,42922.0,-5.84,-12.09,
69,395.0,부광약품,6070.0,100.0,+1.68%,500.0,4314.0,71063.0,4.35,147332.0,-13.76,-12.8,
73,396.0,풀무원,11270.0,310.0,+2.83%,500.0,4296.0,38121.0,0.94,85072.0,22.54,5.35,
74,397.0,LF,14640.0,300.0,-2.01%,5000.0,4281.0,29240.0,15.48,65329.0,5.19,5.51,
75,398.0,일동제약,15130.0,70.0,-0.46%,1000.0,4246.0,28063.0,5.37,52784.0,-5.2,-43.75,
76,399.0,지역난방공사,36550.0,2150.0,-5.56%,5000.0,4232.0,11579.0,1.35,52462.0,2.12,10.63,
77,400.0,세아홀딩스,105800.0,700.0,-0.66%,5000.0,4232.0,4000.0,0.52,173.0,5.16,3.89,
1,401.0,퍼시스,36100.0,250.0,-0.69%,1000.0,4152.0,11500.0,19.26,901.0,6.21,13.33,
2,402.0,TIGER 리츠부동산인프라,4460.0,0.0,0.00%,0.0,4141.0,92850.0,0.05,803476.0,,,
3,403.0,TIGER 종합채권(AA-이상)액티브,52395.0,85.0,+0.16%,0.0,4133.0,7888.0,0.0,3887.0,,,
4,404.0,바이오노트,4040.0,25.0,-0.62%,500.0,4123.0,102056.0,0.2,13383.0,-20.1,-1.3,
5,405.0,현대퓨처넷,3720.0,65.0,+1.78%,500.0,4100.0,110203.0,1.15,137069.0,-218.82,-0.25,
9,406.0,아모레퍼시픽우,38600.0,1300.0,+3.49%,500.0,4075.0,10558.0,52.91,18773.0,14.8,,
10,407.0,제주은행,12590.0,30.0,-0.24%,5000.0,4045.0,32129.0,0.32,1126859.0,79.18,0.97,
11,408.0,아세아제지,44950.0,0.0,0.00%,5000.0,4026.0,8957.0,6.94,0.0,4.97,9.8,
12,409.0,현대그린푸드,11800.0,140.0,-1.17%,500.0,3998.0,33881.0,10.12,40085.0,8.51,,
13,410.0,세진중공업,6960.0,10.0,+0.14%,500.0,3957.0,56849.0,1.83,166938.0,23.12,9.92,
17,411.0,미래에셋 레버리지 원유선물혼합 ETN(H),9650.0,40.0,-0.41%,0.0,3956.0,41000.0,0.0,15510.0,,,
18,412.0,맵스리얼티1,4245.0,5.0,+0.12%,0.0,3941.0,92834.0,2.63,29578.0,,,
19,413.0,코리아써키트,16500.0,200.0,-1.20%,500.0,3897.0,23621.0,1.6,184876.0,-12.33,-8.05,
20,414.0,삼성FN리츠,5020.0,0.0,0.00%,500.0,3880.0,77300.0,0.16,75206.0,836.67,,
21,415.0,SNT홀딩스,23800.0,600.0,-2.46%,500.0,3880.0,16304.0,11.16,29752.0,4.44,8.5,
25,416.0,KODEX 국고채3년,59375.0,115.0,+0.19%,0.0,3846.0,6478.0,0.0,1028.0,,,
26,417.0,TIGER 미국채30년스트립액티브(합성 H),41870.0,390.0,-0.92%,0.0,3844.0,9182.0,0.16,182843.0,,,
27,418.0,삼성SDI우,236500.0,3500.0,-1.46%,5000.0,3826.0,1618.0,19.33,2459.0,8.28,,
28,419.0,히어로즈 머니마켓액티브,50300.0,0.0,0.00%,0.0,3813.0,7580.0,0.0,40667.0,,,
29,420.0,세아제강,134100.0,300.0,+0.22%,5000.0,3803.0,2836.0,11.02,4640.0,2.01,20.68,
33,421.0,아세아시멘트,9800.0,160.0,-1.61%,500.0,3773.0,38502.0,5.33,54868.0,4.26,8.96,
34,422.0,한일홀딩스,12190.0,80.0,+0.66%,1000.0,3759.0,30833.0,2.62,16550.0,3.6,7.12,
35,423.0,화신,10720.0,130.0,-1.20%,500.0,3743.0,34920.0,3.75,137236.0,4.84,19.27,
36,424.0,영진약품,2035.0,5.0,+0.25%,500.0,3722.0,182893.0,2.88,160661.0,-96.9,-4.32,
37,425.0,한국자산신탁,2995.0,40.0,-1.32%,500.0,3713.0,123978.0,6.16,246813.0,2.86,13.18,
41,426.0,KBSTAR KIS국고채30년Enhanced,70270.0,505.0,+0.72%,0.0,3710.0,5280.0,0.0,24301.0,,,
42,427.0,신도리코,36600.0,800.0,-2.14%,5000.0,3689.0,10080.0,10.2,22479.0,6.71,5.65,
43,428.0,KG케미칼,5380.0,90.0,-1.65%,1000.0,3684.0,68469.0,7.5,182291.0,3.88,11.06,
44,429.0,유나이티드제약,22550.0,250.0,-1.10%,500.0,3683.0,16334.0,6.59,50449.0,7.59,13.47,
45,430.0,대신증권우,14160.0,320.0,-2.21%,5000.0,3682.0,26000.0,11.19,67870.0,9.19,,
49,431.0,삼천리,90600.0,0.0,0.00%,5000.0,3674.0,4055.0,7.48,8558.0,3.06,8.23,
50,432.0,한화리츠,5200.0,10.0,+0.19%,500.0,3671.0,70600.0,0.05,13759.0,,1.61,
51,433.0,광동제약,6960.0,40.0,-0.57%,1000.0,3648.0,52421.0,19.87,142520.0,9.87,6.96,
52,434.0,남양유업,506000.0,5000.0,-0.98%,5000.0,3643.0,720.0,7.77,1892.0,-6.85,-9.48,
53,435.0,STX중공업,12650.0,370.0,+3.01%,2500.0,3612.0,28553.0,0.79,110344.0,11.42,15.16,
57,436.0,KODEX 25-11 은행채(AA-이상)PLUS액티브,10070.0,15.0,+0.15%,0.0,3610.0,35850.0,0.0,328769.0,,,
58,437.0,LG생활건강우,170500.0,3600.0,+2.16%,5000.0,3580.0,2100.0,55.4,4409.0,21.16,,
59,438.0,KISCO홀딩스,21900.0,150.0,-0.68%,1000.0,3543.0,16176.0,5.6,26731.0,3.89,8.38,
60,439.0,이아이디,1392.0,0.0,0.00%,200.0,3541.0,254384.0,2.13,0.0,-3.11,-49.27,
61,440.0,LS네트웍스,4485.0,125.0,+2.87%,5000.0,3534.0,78803.0,0.08,1561438.0,32.98,1.92,
65,441.0,SOL 초단기채권액티브,51025.0,5.0,+0.01%,0.0,3526.0,6910.0,0.02,138727.0,,,
66,442.0,KBSTAR 미국S&P500,15580.0,245.0,+1.60%,0.0,3521.0,22600.0,0.01,116897.0,,,
67,443.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,23380.0,520.0,+2.27%,0.0,3519.0,15050.0,0.03,1086779.0,,,
68,444.0,SOL AI반도체소부장,16950.0,230.0,+1.38%,0.0,3509.0,20700.0,0.27,2009641.0,,,
69,445.0,남해화학,7060.0,20.0,-0.28%,1000.0,3507.0,49679.0,3.72,71827.0,29.29,2.34,
73,446.0,현대차3우B,145700.0,600.0,-0.41%,5000.0,3503.0,2404.0,24.09,15636.0,3.34,,
74,447.0,백광산업,7790.0,0.0,0.00%,500.0,3499.0,44918.0,1.85,0.0,45.29,3.65,
75,448.0,LX하우시스,39000.0,800.0,+2.09%,5000.0,3497.0,8968.0,16.09,11543.0,6.31,7.66,
76,449.0,KODEX 은행,7660.0,260.0,-3.28%,0.0,3485.0,45500.0,0.07,1138790.0,,,
77,450.0,KOSEF 200,37265.0,370.0,-0.98%,0.0,3484.0,9350.0,0.0,32962.0,,,
1,451.0,BGF,3630.0,35.0,+0.97%,1000.0,3475.0,95717.0,3.18,64600.0,4.46,4.81,
2,452.0,삼부토건,1701.0,31.0,+1.86%,1000.0,3474.0,204259.0,7.21,8038315.0,-3.09,-73.88,
3,453.0,KODEX 미국반도체MV,21480.0,660.0,+3.17%,0.0,3469.0,16150.0,0.03,613779.0,,,
4,454.0,KODEX 미국달러SOFR금리액티브(합성),11140.0,90.0,+0.81%,0.0,3469.0,31140.0,0.0,52643.0,,,
5,455.0,HLB글로벌,7720.0,200.0,+2.66%,500.0,3437.0,44523.0,3.98,1526305.0,-14.35,-40.28,
9,456.0,한국쉘석유,263000.0,1000.0,+0.38%,5000.0,3419.0,1300.0,58.17,2264.0,9.15,31.27,
10,457.0,파미셀,5690.0,120.0,+2.15%,500.0,3415.0,60017.0,5.31,184551.0,94.83,4.56,
11,458.0,TIGER 미국나스닥100커버드콜(합성),10680.0,165.0,+1.57%,0.0,3402.0,31850.0,0.02,599470.0,,,
12,459.0,TIGER 글로벌자율주행&전기차SOLACTIVE,11145.0,95.0,+0.86%,0.0,3401.0,30520.0,0.33,71054.0,,,
13,460.0,KODEX 선진국MSCI World,26970.0,330.0,+1.24%,0.0,3398.0,12600.0,0.01,39892.0,,,
17,461.0,스틱인베스트먼트,8090.0,140.0,+1.76%,500.0,3372.0,41678.0,13.27,148327.0,12.22,11.38,
18,462.0,송원산업,14030.0,510.0,+3.77%,500.0,3367.0,24000.0,16.85,119775.0,9.66,5.02,
19,463.0,KODEX 단기변동금리부채권액티브,110250.0,5.0,0.00%,0.0,3341.0,3030.0,0.0,178.0,,,
20,464.0,한화3우B,14810.0,50.0,-0.34%,5000.0,3328.0,22472.0,15.79,25368.0,3.81,,
21,465.0,조광피혁,50000.0,400.0,+0.81%,5000.0,3325.0,6649.0,0.37,1348.0,36.76,2.23,
25,466.0,CJ4우(전환),78000.0,2100.0,-2.62%,5000.0,3297.0,4227.0,4.0,29556.0,14.28,,
26,467.0,가온전선,44650.0,7100.0,+18.91%,5000.0,3285.0,7358.0,2.98,6478486.0,16.31,5.65,
27,468.0,HL홀딩스,32150.0,250.0,-0.77%,5000.0,3269.0,10169.0,7.5,26079.0,6.55,5.01,
28,469.0,국도화학,36000.0,300.0,-0.83%,5000.0,3244.0,9011.0,18.46,10396.0,42.11,0.92,
29,470.0,TIGER 인도니프티50,12675.0,125.0,+1.00%,0.0,3238.0,25550.0,0.18,686068.0,,,
33,471.0,SGC에너지,22400.0,450.0,+2.05%,5000.0,3228.0,14409.0,3.31,29051.0,7.78,5.96,
34,472.0,락앤락,7410.0,200.0,+2.77%,500.0,3210.0,43326.0,74.84,116611.0,-9.06,-7.27,
35,473.0,TIGER 중장기국채,49870.0,125.0,+0.25%,0.0,3202.0,6420.0,0.0,21269.0,,,
36,474.0,사조대림,34900.0,150.0,-0.43%,5000.0,3198.0,9164.0,4.46,15361.0,3.5,16.87,
37,475.0,KODEX 인도Nifty50,13000.0,95.0,+0.74%,0.0,3185.0,24500.0,0.0,366945.0,,,
41,476.0,케이씨,23450.0,350.0,-1.47%,500.0,3178.0,13554.0,10.5,119990.0,6.68,6.44,
42,477.0,알루코,3280.0,60.0,+1.86%,500.0,3171.0,96682.0,1.63,1411661.0,16.4,7.19,
43,478.0,KODEX 25-11 회사채(A+이상)액티브,10395.0,5.0,+0.05%,0.0,3169.0,30490.0,0.0,2293.0,,,
44,479.0,대원강업,5110.0,30.0,-0.58%,500.0,3168.0,62000.0,2.03,104999.0,10.34,6.17,
45,480.0,현대비앤지스틸,21000.0,450.0,+2.19%,5000.0,3167.0,15079.0,2.8,147827.0,-10.56,-5.93,
49,481.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),6900.0,45.0,-0.65%,0.0,3157.0,45760.0,0.24,62813.0,,,
50,482.0,대한제강,13480.0,190.0,+1.43%,1000.0,3156.0,23414.0,6.62,33473.0,4.57,9.88,
51,483.0,한진,21100.0,400.0,-1.86%,5000.0,3154.0,14948.0,6.77,55981.0,12.07,1.86,
52,484.0,대원제약,14200.0,10.0,-0.07%,500.0,3151.0,22190.0,14.72,31623.0,13.05,9.25,
53,485.0,TIGER 2차전지TOP10,12660.0,355.0,-2.73%,0.0,3140.0,24800.0,0.57,976747.0,,,
57,486.0,KODEX 코스피,27840.0,255.0,-0.91%,0.0,3132.0,11250.0,0.02,32331.0,,,
58,487.0,수산인더스트리,21900.0,250.0,-1.13%,200.0,3129.0,14286.0,0.74,68562.0,6.41,10.21,
59,488.0,한투 KIS CD금리투자 ETN,51950.0,0.0,0.00%,0.0,3117.0,6000.0,0.0,0.0,,,
60,489.0,대동,12150.0,130.0,-1.06%,1000.0,3115.0,25641.0,5.31,135801.0,17.69,4.41,
61,490.0,KODEX 미국채울트라30년선물(H),7710.0,20.0,-0.26%,0.0,3115.0,40400.0,0.01,316476.0,,,
65,491.0,이리츠코크렙,4885.0,25.0,+0.51%,500.0,3094.0,63342.0,0.98,68833.0,31.31,4.16,
66,492.0,에어부산,2650.0,45.0,-1.67%,1000.0,3091.0,116640.0,0.66,143690.0,2.97,66.45,
67,493.0,KODEX 국고채30년액티브,104610.0,415.0,+0.40%,0.0,3078.0,2942.0,0.0,5536.0,,,
68,494.0,종근당홀딩스,61300.0,200.0,-0.33%,2500.0,3071.0,5010.0,5.28,2649.0,6.53,8.61,
69,495.0,BYC,489500.0,0.0,0.00%,5000.0,3057.0,625.0,3.05,0.0,17.37,4.51,
73,496.0,대상홀딩스,8400.0,20.0,-0.24%,1000.0,3042.0,36213.0,5.26,182210.0,14.79,2.85,
74,497.0,백산,13480.0,110.0,+0.82%,500.0,3035.0,22515.0,9.17,149407.0,7.5,21.47,
75,498.0,DB,1507.0,3.0,-0.20%,500.0,3032.0,201174.0,2.32,150119.0,14.92,5.96,
76,499.0,하나 CD금리투자 ETN,100320.0,0.0,0.00%,0.0,3010.0,3000.0,0.0,0.0,,,
77,500.0,SIMPAC,4590.0,0.0,0.00%,500.0,3003.0,65430.0,3.2,125092.0,-46.36,-1.09,
